source_id,module,variant,top,LUT,FF,DSP,BRAM_18K,latency_min_cycles,latency_max_cycles,latency_min_report_ms,latency_max_report_ms,interval_min_cycles,interval_max_cycles,pipeline_type,target_clock_ns,estimated_clock_ns,clock_uncertainty_ns,tool_version,part,report_date,source_file
R1,Conv1,baseline,conv1_2d,6987,1845,25,0,44945,44945,0.449,0.449,44946,44946,none,10,7.244,2.7,2020.2 (Build 3064766 on Wed Nov 18 09:12:45 MST 2020),xc7z020-clg400-1,Sat Sep  5 23:08:26 2026,provided_by_member4/member4_conv_mac/成员4/results/reports/baseline/conv1_baseline_csynth.rpt
R2,Conv2,baseline,conv2_2d,1161,291,1,0,162818,162818,1.628,1.628,162819,162819,none,10,7.247,2.7,2020.2 (Build 3064766 on Wed Nov 18 09:12:45 MST 2020),xc7z020-clg400-1,Sat Sep  5 23:09:05 2026,provided_by_member4/member4_conv_mac/成员4/results/reports/baseline/conv2_baseline_csynth.rpt
R3,Conv1,final,conv1_systolic,5340,9221,49,0,17426,17426,0.174,0.174,17427,17427,none,10,7.027,2.7,2020.2 (Build 3064766 on Wed Nov 18 09:12:45 MST 2020),xc7z020-clg400-1,Sun Sep  6 18:58:43 2026,provided_by_member4/member4_conv_mac/成员4/results/reports/final/conv1_systolic_csynth.rpt
R4,Conv2,final,conv2_systolic,8822,13556,72,0,12226,12226,0.122,0.122,12227,12227,none,10,7.131,2.7,2020.2 (Build 3064766 on Wed Nov 18 09:12:45 MST 2020),xc7z020-clg400-1,Sun Sep  6 18:59:11 2026,provided_by_member4/member4_conv_mac/成员4/results/reports/final/conv2_systolic_csynth.rpt
