group,preprocess,inference_mode,total,correct,accuracy,class_0_total,class_0_correct,class_0_accuracy,class_1_total,class_1_correct,class_1_accuracy,class_2_total,class_2_correct,class_2_accuracy,class_3_total,class_3_correct,class_3_accuracy,class_4_total,class_4_correct,class_4_accuracy,class_5_total,class_5_correct,class_5_accuracy,class_6_total,class_6_correct,class_6_accuracy,class_7_total,class_7_correct,class_7_accuracy,class_8_total,class_8_correct,class_8_accuracy,class_9_total,class_9_correct,class_9_accuracy
simple_float,simple,float,340,50,0.14705882352941177,34,19,0.5588235294117647,34,0,0.0,34,0,0.0,34,0,0.0,34,9,0.2647058823529412,34,0,0.0,34,0,0.0,34,0,0.0,34,22,0.6470588235294118,34,0,0.0
simple_fixed,simple,fixed,340,50,0.14705882352941177,34,19,0.5588235294117647,34,0,0.0,34,0,0.0,34,0,0.0,34,10,0.29411764705882354,34,0,0.0,34,0,0.0,34,0,0.0,34,21,0.6176470588235294,34,0,0.0
full_float,full,float,340,259,0.7617647058823529,34,27,0.7941176470588235,34,25,0.7352941176470589,34,29,0.8529411764705882,34,32,0.9411764705882353,34,20,0.5882352941176471,34,32,0.9411764705882353,34,23,0.6764705882352942,34,22,0.6470588235294118,34,27,0.7941176470588235,34,22,0.6470588235294118
full_fixed,full,fixed,340,260,0.7647058823529411,34,27,0.7941176470588235,34,25,0.7352941176470589,34,30,0.8823529411764706,34,32,0.9411764705882353,34,20,0.5882352941176471,34,32,0.9411764705882353,34,23,0.6764705882352942,34,22,0.6470588235294118,34,27,0.7941176470588235,34,22,0.6470588235294118
simple_optimized_hls,simple,optimized_hls,340,50,0.14705882352941177,34,19,0.5588235294117647,34,0,0.0,34,0,0.0,34,0,0.0,34,10,0.29411764705882354,34,0,0.0,34,0,0.0,34,0,0.0,34,21,0.6176470588235294,34,0,0.0
full_optimized_hls,full,optimized_hls,340,260,0.7647058823529411,34,27,0.7941176470588235,34,25,0.7352941176470589,34,30,0.8823529411764706,34,32,0.9411764705882353,34,20,0.5882352941176471,34,32,0.9411764705882353,34,23,0.6764705882352942,34,22,0.6470588235294118,34,27,0.7941176470588235,34,22,0.6470588235294118
