mode,top,scope,LUT,FF,DSP48E,BRAM_18K,latency_min_cycles,latency_max_cycles,interval_min_cycles,interval_max_cycles,pipeline_type,target_clock_ns,estimated_clock_ns,clock_uncertainty_ns,tool_version,part,report_date,source_file
float,lenet_accelerator_with_weights,whole_network_HLS_estimate,45272,71471,139,30,30,459706,30,459706,none,10,9.325,1.25,2018.3 (Build 2405991 on Thu Dec 06 23:56:15 MST 2018),xc7z020clg400-1,Tue Sep  8 01:23:04 2026,provided_by_member6/m6/results/reports/float/lenet_accelerator_with_weights_csynth.rpt
fixed,lenet_accelerator_with_weights,whole_network_HLS_estimate,17279,33932,146,14,30,474826,30,474826,none,10,8.702,1.25,2018.3 (Build 2405991 on Thu Dec 06 23:56:15 MST 2018),xc7z020clg400-1,Tue Sep  8 02:11:26 2026,provided_by_member6/m6/results/reports/fixed/lenet_accelerator_with_weights_csynth.rpt
